"club"	"gender"	"drinks"	"time"	"leavealone"
"130"	"Blechnerei"	"M"	2	100	0
"131"	"Barrys"	"F"	5	106	1
"132"	"Barrys"	"M"	5	160	1
"133"	"Blechnerei"	"M"	5	65	1
"134"	"Blechnerei"	"M"	4	174	1
"135"	"Kantine"	"F"	4	222	0
"136"	"Blechnerei"	"F"	4	147	0
"137"	"Kantine"	"F"	2	50	0
"138"	"Blechnerei"	"F"	2	74	0
"139"	"Kantine"	"M"	3	85	1
"140"	"Blechnerei"	"F"	5	114	1
"141"	"Kantine"	"M"	3	178	0
"142"	"Blechnerei"	"F"	4	134	0
"143"	"Barrys"	"M"	4	143	1
"144"	"Blechnerei"	"M"	5	93	1
"145"	"Barrys"	"F"	5	125	1
"146"	"Kantine"	"M"	5	141	1
"147"	"Kantine"	"M"	3	92	0
"148"	"Blechnerei"	"M"	5	102	1
"149"	"Blechnerei"	"F"	6	217	1
"150"	"Kantine"	"M"	6	119	1
"151"	"Barrys"	"M"	4	109	1
"152"	"Barrys"	"M"	2	72	1
"153"	"Blechnerei"	"M"	6	180	1
"154"	"Barrys"	"F"	1	51	1
"155"	"Blechnerei"	"F"	4	114	1
"156"	"Kantine"	"M"	6	137	1
"157"	"Kantine"	"F"	3	138	1
"158"	"Barrys"	"F"	5	123	0
"159"	"Blechnerei"	"F"	4	194	0
"160"	"Blechnerei"	"M"	6	180	1
"161"	"Barrys"	"F"	0	86	1
"162"	"Kantine"	"M"	3	185	0
"163"	"Kantine"	"F"	5	173	1
"164"	"Barrys"	"F"	4	175	1
"165"	"Barrys"	"F"	3	59	1
"166"	"Blechnerei"	"M"	5	176	1
"167"	"Kantine"	"F"	3	156	0
"168"	"Kantine"	"M"	3	151	0
"169"	"Barrys"	"M"	5	134	1
"170"	"Blechnerei"	"M"	7	215	1
"171"	"Kantine"	"M"	1	79	1
"172"	"Kantine"	"F"	5	177	1
"173"	"Blechnerei"	"M"	5	109	0
"174"	"Barrys"	"F"	3	109	1
"175"	"Blechnerei"	"M"	4	45	1
"176"	"Barrys"	"F"	4	90	1
"177"	"Blechnerei"	"M"	6	212	1
"178"	"Blechnerei"	"F"	5	162	1
"179"	"Kantine"	"F"	2	83	0
"180"	"Barrys"	"M"	2	72	1
"181"	"Kantine"	"M"	5	226	1
"182"	"Barrys"	"M"	4	63	1
"183"	"Blechnerei"	"F"	9	258	1
"184"	"Barrys"	"F"	5	120	1
"185"	"Barrys"	"F"	1	118	0
"186"	"Blechnerei"	"M"	7	137	1
"187"	"Barrys"	"F"	2	87	1
"188"	"Barrys"	"F"	4	198	1
"189"	"Kantine"	"F"	3	197	0
"190"	"Kantine"	"F"	3	135	0
"191"	"Barrys"	"F"	4	136	1
"192"	"Barrys"	"F"	3	122	1
"193"	"Barrys"	"F"	3	117	1
"194"	"Kantine"	"F"	5	122	1
"195"	"Blechnerei"	"F"	4	89	1
"196"	"Kantine"	"M"	7	113	1
"197"	"Barrys"	"F"	6	214	1
"198"	"Barrys"	"M"	4	85	1
"199"	"Blechnerei"	"M"	8	204	1
"200"	"Barrys"	"F"	5	114	1
"201"	"Blechnerei"	"M"	3	44	1
"202"	"Barrys"	"F"	4	132	1
"203"	"Barrys"	"F"	5	252	1
"204"	"Kantine"	"F"	4	39	1
"205"	"Blechnerei"	"M"	5	135	0
"206"	"Blechnerei"	"M"	7	212	1
"207"	"Kantine"	"M"	4	158	1
"208"	"Barrys"	"F"	0	-7	1
"209"	"Kantine"	"M"	4	67	0
"210"	"Kantine"	"M"	2	172	0
"211"	"Kantine"	"F"	4	152	1
"212"	"Barrys"	"F"	3	268	1
"213"	"Barrys"	"F"	2	71	1
"214"	"Blechnerei"	"F"	4	168	1
"215"	"Kantine"	"M"	4	158	1
"216"	"Blechnerei"	"M"	7	212	1
"217"	"Blechnerei"	"F"	2	6	1
"218"	"Blechnerei"	"F"	5	105	1
"219"	"Blechnerei"	"M"	4	111	1
"220"	"Kantine"	"M"	2	89	1
"221"	"Kantine"	"F"	3	252	1
"222"	"Blechnerei"	"M"	5	124	1
"223"	"Blechnerei"	"F"	3	136	1
"224"	"Blechnerei"	"F"	4	150	1
"225"	"Barrys"	"M"	3	148	1
"226"	"Barrys"	"M"	5	123	1
"227"	"Blechnerei"	"F"	5	181	0
"228"	"Barrys"	"F"	3	109	1
"229"	"Kantine"	"F"	1	174	0
"230"	"Barrys"	"M"	3	130	1
"231"	"Blechnerei"	"M"	4	256	1
"232"	"Blechnerei"	"F"	5	191	1
"233"	"Kantine"	"F"	1	53	1
"234"	"Barrys"	"F"	4	198	1
"235"	"Blechnerei"	"M"	6	66	0
"236"	"Kantine"	"M"	3	113	0
"237"	"Kantine"	"M"	5	109	1
"238"	"Barrys"	"M"	4	195	1
"239"	"Barrys"	"F"	4	134	1
"240"	"Blechnerei"	"F"	4	106	1
"241"	"Barrys"	"F"	5	119	1
"242"	"Blechnerei"	"F"	5	148	0
"243"	"Blechnerei"	"M"	6	218	1
"244"	"Kantine"	"M"	5	189	1
"245"	"Kantine"	"M"	5	134	1
"246"	"Barrys"	"F"	4	129	1
"247"	"Blechnerei"	"F"	3	179	1
"248"	"Barrys"	"F"	6	159	1
"249"	"Blechnerei"	"M"	5	177	0
"250"	"Kantine"	"F"	2	33	0
"251"	"Kantine"	"M"	5	164	1
"252"	"Kantine"	"M"	2	40	1
"253"	"Barrys"	"M"	4	130	1
"254"	"Blechnerei"	"M"	4	35	1
"255"	"Barrys"	"F"	3	116	1
"256"	"Barrys"	"F"	3	117	1
"257"	"Kantine"	"M"	1	56	1
"258"	"Blechnerei"	"F"	5	192	1
"259"	"Kantine"	"F"	4	146	1
"260"	"Barrys"	"M"	5	94	1
"261"	"Kantine"	"M"	6	129	1
"262"	"Blechnerei"	"F"	7	72	0
"263"	"Blechnerei"	"M"	5	199	0
"264"	"Kantine"	"M"	6	122	1
"265"	"Kantine"	"M"	6	190	0
"266"	"Blechnerei"	"M"	5	80	1
"267"	"Blechnerei"	"M"	2	87	0
"268"	"Barrys"	"F"	0	188	1
"269"	"Barrys"	"F"	3	214	1
"270"	"Barrys"	"M"	3	143	1
"271"	"Kantine"	"F"	3	90	1
"272"	"Blechnerei"	"F"	5	167	1
"273"	"Barrys"	"F"	3	63	1
"274"	"Blechnerei"	"F"	4	178	1
"275"	"Blechnerei"	"F"	7	232	1
"276"	"Kantine"	"F"	0	91	0
"277"	"Kantine"	"M"	2	124	0
"278"	"Blechnerei"	"F"	4	214	0
"279"	"Blechnerei"	"F"	4	88	1
"280"	"Blechnerei"	"F"	3	113	1
"281"	"Blechnerei"	"F"	6	159	1
"282"	"Blechnerei"	"F"	3	162	1
"283"	"Kantine"	"M"	3	179	0
"284"	"Blechnerei"	"F"	3	228	1
"285"	"Barrys"	"M"	6	141	1
"286"	"Barrys"	"M"	0	69	1
"287"	"Kantine"	"M"	3	72	1
"288"	"Barrys"	"F"	4	133	1
"289"	"Blechnerei"	"F"	3	100	1
"290"	"Blechnerei"	"F"	3	193	1
"291"	"Kantine"	"M"	4	198	1
"292"	"Barrys"	"F"	2	17	1
"293"	"Blechnerei"	"M"	6	125	1
"294"	"Kantine"	"F"	4	185	1
"295"	"Barrys"	"M"	5	141	1
"296"	"Barrys"	"M"	3	77	1
"297"	"Kantine"	"F"	2	113	0
"298"	"Blechnerei"	"M"	4	68	1
"299"	"Kantine"	"M"	1	166	0
"300"	"Kantine"	"M"	6	149	1
